,Region,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Primary Category,Venue Address,Venue Categories,Venue Likes,Venue Rating,Venue Is Open
88,Shevchenkivskyi,Double Bar,59c14e6eb3c9610775b83591,48.4635999572607,35.05063842220119,Restaurant,"['вул. Магдебурзького права, 2', 'Днепр', 'Україна']",['Restaurant'],63,7.6,False
89,Sobornyi,Мамой Клянусь,586fde7f52a051541b7ce0c8,48.46192321700763,35.06114481925938,Caucasian Restaurant,"['вул. Володимира Вернадського, 27 (Крутогірний узвіз)', 'Дніпро', 'Україна']",['Caucasian Restaurant'],269,8.2,
90,Sobornyi,Heisenberg Coffee Lab,5919443318d43b22a4c5f14f,48.459208,35.064682,Coffee Shop,"['площа Соборна, 5-6', 'Дніпро', 'Україна']",['Coffee Shop'],149,8.6,False
91,Sobornyi,Артист,5486d335498e11594cc7f1f8,48.45753661693784,35.062908794562475,Comfort Food Restaurant,"['пл. Соборна, 2а', 'Дніпро', 'Україна']","['Comfort Food Restaurant', 'Theme Restaurant']",371,8.6,False
92,Sobornyi,Абажур,559eb363498eb93d9d286ead,48.45982892488008,35.06436889529715,Restaurant,"['пров. Євгена Коновальця, 11', 'Дніпро', 'Україна']",['Restaurant'],87,8.2,False
93,Sobornyi,Банка,4ea1d18b4690104bb34bd2b9,48.46011055550653,35.06730548729952,Irish Pub,"['вул. Івана Акінфієва, 5', 'Дніпро, 49000', 'Україна']","['Irish Pub', 'Pub', 'Gastropub']",555,8.4,False
94,Sobornyi,Big Mama,5c17d94a78782c002cb8de38,48.45999311992526,35.06985727985696,Pizza Place,"['вулиця Яворницького 6', 'Дніпро́, 49000', 'Україна']",['Pizza Place'],54,8.5,False
95,Sobornyi,mixtura_bar,56210838498eaf51180429aa,48.45945200747604,35.068104938203625,Cocktail Bar,"['вул. Івана Акінфієва, 12-Б (вул. Яворницького)', 'Дніпро', 'Україна']",['Cocktail Bar'],193,8.2,False
96,Sobornyi,Coast / Коаст,4c505cd13a6f2d7fc2b97177,48.46353817199719,35.074204415470135,Restaurant,"['вул. Січеславська Набережна, 61', 'Дніпро', 'Україна']",['Restaurant'],487,8.5,False
97,Sobornyi,For Rest,5bd47470e97dfb002c6fa5e7,48.458896,35.049081,Vegetarian / Vegan Restaurant,"['Южная 8г', 'Дніпро, 49000', 'Україна']","['Vegetarian / Vegan Restaurant', 'Café']",17,7.8,False
98,Sobornyi,Папа Карла,504db8d5e4b0c4f4a4c61be3,48.456865995949435,35.059646223632846,Café,"['просп. Дмитра Яворницького, 27-А (вул. Василя Жуковського)', 'Дніпро, 49000', 'Україна']",['Café'],456,7.7,False
99,Sobornyi,One Dollar Bar,579de888498e7d4972ca689a,48.46017995998657,35.06911189569206,Café,"['вул. Яворницького, 6', 'Дніпро', 'Україна']","['Café', 'Breakfast Spot', 'Bar']",338,7.7,
100,Industrialnyi,Edburg / Эдбург,4f081868e4b0c3ff839018e2,48.52002540377661,35.07534726467519,Eastern European Restaurant,"['вул. Байкальська, 22', 'Дніпро', 'Україна']","['Eastern European Restaurant', 'Hotel']",77,8.1,
101,Industrialnyi,Булочка З Провулочка,5791f3fd498ef0947797c359,48.510238,35.082704,Bakery,"['Калиновая, 8', 'Dniepropetrowsk', 'Україна']",['Bakery'],11,8.7,
102,Industrialnyi,Плов Хочу!,5c1fa629c0cacb002cb1ee9e,48.533268,35.08704,Restaurant,"['просп. Слобожанський, 128а', 'Дніпро', 'Україна']",['Restaurant'],29,8.0,False
103,Industrialnyi,Корона / Korona,529f3b3811d2b7c8717ba576,48.519264432384965,35.078361717295806,Gastropub,"['Радищева,34', 'Україна']","['Gastropub', 'Cocktail Bar']",36,6.9,True
104,Industrialnyi,Корона Холл,53aea135498e55bfbfd2c5f2,48.519259411477194,35.07836573850924,Restaurant,['Україна'],['Restaurant'],20,6.7,
105,Industrialnyi,Фаэтон,5475eb30498eb17c04bd7349,48.51619452917428,35.07947797618338,BBQ Joint,"['просп. Слобожанський, 74-А (вул. Батумська)', 'Дніпро', 'Україна']",['BBQ Joint'],109,6.7,False
106,Industrialnyi,Булочник,55f5631d498ef09596d7a9c3,48.51056641940773,35.08078733080018,Bakery,"['вул. Калинова, 3', 'Дніпро', 'Україна']",['Bakery'],6,6.7,
107,Industrialnyi,Varus,534837ae498ec3fe40c7b8f9,48.51025506160007,35.08004412069673,Grocery Store,"['ул. Калиновая, 9-А', 'Дніпро', 'Україна']",['Grocery Store'],8,6.5,
108,Industrialnyi,Франс.уа,5336f244498e2e6499b8f197,48.511509402992786,35.07776222808472,Bakery,"['вул. Калинова, 14-Г', 'Дніпро', 'Україна']",['Bakery'],21,6.3,
109,Industrialnyi,Сільпо / Silpo,4fd25017e4b0362dd3da2201,48.51689445055483,35.079727504817896,Grocery Store,"['просп. Слобожанський, 76-78', 'Дніпро', 'Україна']",['Grocery Store'],35,6.1,False
110,Industrialnyi,АТБ,4e6cf0b045dd435bc1411936,48.52620846952583,35.04610671375783,Supermarket,"['вул. Янтарна, 75м', 'Дніпро', 'Україна']","['Supermarket', 'Grocery Store']",17,6.4,
111,Industrialnyi,Восточный Дворик,500999c5e4b098bae22b5c49,48.509182572008434,35.08065357239567,Food Court,['Україна'],['Food Court'],9,6.1,
112,Industrialnyi,Карпаты,4dfb855581dce49306248b1c,48.5306898156303,35.08526281748182,Eastern European Restaurant,"['пр. имени газеты Правда, 118', 'Дніпро', 'Україна']",['Eastern European Restaurant'],7,5.9,
113,Industrialnyi,Бакинский Дворик,4fc61302e4b09c44d20ce405,48.50383266889788,35.08358052901212,Middle Eastern Restaurant,"['вул. Богдана Хмельницького, 18', 'Дніпро', 'Україна']","['Middle Eastern Restaurant', 'Food Court']",47,5.9,
114,Industrialnyi,Coffee Life,4c947401f244b1f7fe62221d,48.51021268195578,35.07998961853908,Coffee Shop,"['вул. Калинова, 9 (ТЦ «Міріада»)', 'Дніпро', 'Україна']",['Coffee Shop'],52,5.6,False
115,Industrialnyi,Шоколад,4ef8a83a9adf7bbf899c9a46,48.50929132411173,35.084578416678156,Café,"['вул. Гулі Корольової, 2', 'Дніпро', 'Україна']","['Café', 'Tea Room']",9,5.5,
116,Industrialnyi,Macdonald's,551fd19d498ed5c1ea143083,48.52720526451749,35.047629799961896,Fast Food Restaurant,['Україна'],['Fast Food Restaurant'],4,0.0,
117,Tsentralnyi,Викинг,4da997a94df01c19b1742d64,48.453734600864586,35.02848249712129,Restaurant,"['вул. Димитрова, 44', 'Дніпро', 'Україна']",['Restaurant'],67,7.8,False
